writeFailed "エラー、ゲームフォルダは読み込みのみ" 
editAccountWarning "することを知らずに、アカウントを編集するため、注意を引いてお願いします"　

view "示す"
hide "隠す"


updateWritePermissionMessage "FAILED TO APPLY UPDATE:##MOVE GAME FOLDER SOMEWHERE##THAT IS NOT READ-ONLY."

manualRestartMessage "アップデートするには、ゲームを再起動してください"　


loginFailed "ログインエラー"　

versionMismatch "合わせないバージョン:  プレイヤー %d -- サーバー %d"　
disableCustomServer "DISABLE CUSTOM SERVER"


serverShutdown "SERVER HAS BEEN SHUT DOWN"

serverUpdate "SERVERS ARE IN THE PROCESS OF UPDATING"


serverFull "満員サーバー"　

connectionFailed "接続エラー"　


customServerMesssage "CUSTOM SERVER:  %s : %d"

connecting "接続中"

waitingBirth "生まれてくるまで、お待ちください"　
waitingBirthFriends "%sとして生まれてくるまで、お待ちください"

cancelWaitingFriends "止まるには、[x]を押してください"

waitingReconnect "再接続中"


loadingMap "地域のロード中"


loadingMapFailedMessage "FAILED TO LOAD THE MAP."

loadingMapFailedSubMessage "THE FOLLOWING FILE IS MISSING OR CORRUPTED:##%s####REINSTALLING THE GAME SHOULD FIX THIS PROBLEM."


lastAte "食った"
lastAtePermanent "から食った"

breastMilk "母乳を飲んだ"

you "あなた"
eat "食う"

youWith "を持っているあなた"
with "WITH"

yum "うまい"
meh "まあまあ"


eatHint "口"
bareHandHint "素手"
bareGroundHint "空地"
nothingHint "何も"
eventuallyHint "(結局)"


noHint "情報なし" 

ofHint "OF"
tabHint "[TAB]"

enterHint "[ENTER]"


making "作っている:"
notRelevant "(%s　関係ない)"
noMatch "(NO FILTER MATCH)"


your "あなたの"
of "OF"

mother "母"
son "息子"
daughter "娘"
grand "GRAND"
great "GREAT "

brother "BROTHER"
sister "SISTER"

little "LITTLE"
big "BIG"
twin "TWIN"
identical "IDENTICAL"


aunt "伯母"
uncle "伯父"

niece "姪"
nephew "甥"

cousin "いとこ"

1th "FIRST"
2th "SECOND"
3th "THIRD"
4th "FOURTH"
5th "FIFTH"
6th "SIXTH"
7th "SEVENTH"
8th "EIGHTH"
9th "NINTH"
10th "TENTH"
11th "ELEVENTH"
12th "TWELFTH"
13th "THIRTEENTH"
14th "FOURTEENTH"
15th "FIFTEENTH"
16th "SIXTEENTH"
17th "SEVENTEENTH"
18th "EIGHTEENTH"
19th "NINETEENTH"
20th "TWENTIETH"
twenty "TWENTY-"

distant "DISTANT"

removed "REMOVED"
1Times "ONCE"
2Times "TWICE"
3Times "THRICE"
4Times "FOUR TIMES"
5Times "FIVE TIMES"
6Times "SIX TIMES"
7Times "SEVEN TIMES"
8Times "EIGHT TIMES"
9Times "NINE TIMES"
manyTimes "MANY TIMES"


unrelated "無関係"



dieCommand "/DIE"


youDied "死んでしまった"

deathAgeOne "年齢:  一才"
deathAge "年齢:  %d才"

reasonDisconnected "起因:　接続切断"

reasonHunger "起因:　餓死"

reasonNursingHunger "起因:  NURSING STARVATION"

reasonKilled "起因:  KILLED BY "

reasonKilledUnknown "起因:  KILLED BY UNKNOWN WEAPON"


reasonSuccumbed "起因:  SUCCUMBED TO "

reasonSuccumbedUnknown "起因:  SUCCUMBED TO UNKNOWN SICKNESS"



reasonOldAge "起因:  老死"

reasonSID "起因:  SUDDEN INFANT DEATH"

reasonUnknown "起因:  不明"

reasonApocalypse "起因:  THE APOCALYPSE"


connectionLost "接続切断"

willTryReconnect "再接続するには、OKを押してください"　



okay "OK"
quit "終了"

reborn "生まれ返る"

tutorial "チュートリアル"
restartTutorial "RESTART TUTORIAL"

menu "メニュー"


bugMessage1a "WILD BUG APPEARED!####AFTER THIS LIFE IS OVER,##PLEASE QUIT AND EMAIL LATEST RECORDED-GAME FILE TO:"

bugMessage1b "WILD BUG APPEARED!####AFTER THIS LIFE IS OVER,##PLEASE QUIT AND EMAIL LATEST RECORDED-GAME FILE##AND STDOUT.TXT FILE TO:"

bugMessage1c "WILD BUG APPEARED!####AFTER THIS LIFE IS OVER,##PLEASE QUIT AND EMAIL STDOUT.TXT FILE TO:"


bugMessage2 "PRESS [%] TO CONTINUE PLAYING"





tutorial_1 "YOU HAVE NOT BEEN BORN INTO THE GAME YET.##THIS IS THE TUTORIAL.  CLICK THE LEFT MOUSE BUTTON TO WALK."

tutorial_2 "NAVIGATION IS AUTOMATIC, EVEN AROUND COMPLEX OBSTACLES.  OPEN THE##DOOR, THEN CLICK THE BERRY BUSH TO WALK THERE AND PICK A BERRY."

tutorial_3 "STARVATION MEANS CERTAIN DEATH.  CLICK THE BUSH TO PICK A BERRY.##CLICK YOURSELF TO EAT.  PICK AND EAT MORE UNTIL YOU ARE FULL."

tutorial_4 "CLICK AND HOLD NEAR THE EDGE OF THE SCREEN TO KEEP##WALKING IN THAT DIRECTION.  USEFUL FOR LONG JOURNEYS."

tutorial_5 "CLICK THE BRANCH TO PICK IT UP.##CLICK THE ROCK UP AHEAD TO TRY USING THE BRANCH ON THE ROCK."

tutorial_6 "NO, NOTHING HAPPENS.  THE [TAB] KEY PAGES THROUGH IDEAS.##A BRANCH ISN'T ON THE LIST OF THINGS THAT WORK ON A ROCK."

tutorial_601 "GETTING HUNGRY?##RIGHT-CLICK AN EMPTY GROUND TILE TO DROP THE BRANCH."

tutorial_7 "MAKE A SHARP STONE.##TAKE IT WITH YOU."



tutorial_8 "[TAB] SHOWS THAT A SHARP STONE WORKS ON MANY THINGS.##CTRL-TAB FOR BIGGER PAGE JUMPS.  SHIFT-TAB PAGES BACKWARDS."

tutorial_8_steam "[TAB] SHOWS THAT A SHARP STONE WORKS ON MANY THINGS.##CTRL-TAB FOR BIGGER PAGE JUMPS.  Z-TAB PAGES BACKWARDS."




tutorial_9 "YOU ARE PROBABLY PRETTY HUNGRY AT THIS POINT.##THESE ARE A BIT HARDER TO EAT THAN BERRIES."

tutorial_10 "A CHAIN OF UNIQUE FOODS INCREASES A VARIETY BONUS MULTIPLIER##ABOVE YOUR FOOD METER.  EATING A 'MEH' FOOD BREAKS THE CHAIN."

tutorial_11 "MAKE A BASKET.  RIGHT-CLICK THE BASKET TO PUT##THE SHARP STONE INSIDE.  TAKE THE BASKET WITH YOU."


tutorial_12 "DROP THE BASKET, THEN RIGHT-CLICK TO REMOVE THE STONE.##PUT SOME FOOD IN THE BASKET TO TAKE WITH YOU."


tutorial_1201 "WITH BOTH BOXES VISIBLE, HOLD [SPACE] TO FREEZE THE CAMERA.##NOW YOU CAN TRANSFER ITEMS BETWEEN BOXES MORE EASILY.  TRY IT."

tutorial_1202 "RELEASE [SPACE] TO UNFREEZE THE CAMERA.##IT MOVES AUTOMATICALLY WHILE YOU NAVIGATE."



tutorial_13 "YOU CONSUME FOOD MORE SLOWLY WHEN YOUR TEMP METER IS IN THE MIDDLE.##STAND BY THE FIRE TO WARM UP.  TOO COLD OR TOO HOT SPEEDS UP HUNGER."

tutorial_14 "WALLS AND FLOORS HOLD HEAT IN A LARGER AREA.##CLOSE THE DOOR TO STOP HEAT FROM LEAKING OUT."


tutorial_15 "COLD AREAS DRAMATICALLY INCREASE YOUR HUNGER RATE.##WHILE HOLDING CLOTHES, CLICK YOURSELF TO PUT THEM ON."


tutorial_16 "WARM CLOTHES CAN CAUSE OVERHEATING IN HOT AREAS.##STRIP BACK DOWN TO COOL OFF.  CLICK WORN CLOTHING TO REMOVE IT."


tutorial_17 "PRESS [ENTER] AND TYPE, AND THEN PRESS [ENTER] AGAIN TO SPEAK.##YOU CAN SAY LONGER AND LONGER PHRASES AS YOU GET OLDER AND OLDER."

tutorial_18 "PRESS [ENTER] TO SPEAK AGAIN, OR PRESS [UP ARROW] AND##[DOWN ARROW] TO CYCLE THROUGH PREVIOUSLY SPOKEN PHRASES."

tutorial_19 "SAY   I AM JONES   TO SET YOUR LAST NAME AS EVE.##MOUSE OVER YOURSELF TO SEE YOUR NAME."

tutorial_1921 "SAY   YOU ARE SALLY   TO SET THE FIRST NAME OF YOUR HELD BABY.##(TRY IT LATER, WHEN YOU HAVE A BABY IN THE GAME.)"



tutorial_1901 "HOLD THE STONE, THEN SAY   /HATCHET   AND PRESS [ENTER] TO SHOW##ONLY HATCHET-MAKING STEPS WITH [TAB].  A MUCH SHORTER LIST."

tutorial_1902 "SAY   /   BY ITSELF AND PRESS [ENTER] TO GO##BACK TO THE FULL, UNFILTERED [TAB] LIST."


tutorial_20 "A FINAL CHALLENGE:  MAKE A HATCHET TO CHOP KINDLING.##GET THE FIRE GOING AGAIN.  LIGHT THE TORCH."


tutorial_21 "TUTORIAL COMPLETE.  AFTER YOU DIE, YOU'LL BE BORN FOR REAL.##A DEADLY PIT OF RATTLESNAKES IS PROVIDED FOR YOUR CONVENIENCE."



tutorial_22 "THIS HALLWAY EXPLAINS A FEW MORE THINGS.##IT IS OPTIONAL AND WON'T HELP WITH THE CHALLENGE."


tutorial_23 "SAY   CURSE SALLY JONES   TO SPEND YOUR ONLY##CURSE TOKEN AND ADD TO SALLY'S CURSE SCORE."

tutorial_24 "WHEN YOU SPEND IT, YOUR CURSE TOKEN IS RESTORED AFTER##TWO HOURS OF PLAY.  IT APPEARS NEAR YOUR TEMP METER."

tutorial_25 "IF SALLY'S CURSE SCORE IS HIGH ENOUGH, SHE##WILL BE MARKED AT BIRTH IN FUTURE LIVES."

tutorial_26 "EVERYONE LOSES ONE FROM THEIR CURSE SCORE AFTER##EVERY HOUR OF PLAY, SO REDEMPTION IS POSSIBLE."

tutorial_27 "HMM..."


tutorial_28 "HEAD SOUTH FOR HINTS, BUT ONLY IF YOU'RE REALLY STUCK.  YOU CAN'T OPEN##THIS DOOR UNLESS YOU'VE BEEN TRYING FOR TWENTY MINUTES."



tutorial_29 "TWO MILKWEED STALKS MAKE THREAD.##TWO THREADS MAKE ROPE."

tutorial_30 "CARVE THE BRANCH TWO TIMES WITH THE SHARP STONE.##YOU GET A SHORT SHAFT.  (YOU HAVE THREE BRANCHES FOR THREE CHANCES.)"

tutorial_31 "TIE THE ROPE ON THE END OF THE SHAFT.##NOW PUT THE SHARP STONE ONTO THE TIED SHAFT.  YOU MADE A HATCHET."

tutorial_32 "A HATCHET CAN MAKE KINDLING OUT OF BRANCHES.##PUT KINDLING ON HOT COALS TO GET A FIRE GOING."

tutorial_33 "STICK A LONG STRAIGHT SHAFT INTO THE FIRE.##YOU GET A FIREBRAND."

tutorial_34 "YOU CAN USE THE FIREBRAND TO GO BACK AND LIGHT THE TORCH.##(HINT:  IT LITERALLY SAYS THE WORD  TORCH  ON IT.)"






tutorial_99 "THIS IS THE END OF THE TUTORIAL.##AFTER YOU DIE HERE, YOU WILL BE BORN INTO THE REAL GAME."





pauseMessage1 "REALLY QUIT?"

pauseMessage2 "PRESS [ENTER] TO RESUME"


pauseMessage3 "PRESS [%] TO QUIT"
pauseMessage3b "YOU CAN'T QUIT NOW"

pauseMessage4 "-"



quitMessage "[ESC] TO QUIT"



playbackTag           "PLAYBACK %:"
playbackToggleMessage "(PRESS [%] TO HIDE)"
playbackEndMessage    "(PRESS [ESC] TO END)"


enterDemoCode  "Enter a demo code:"
checkingCode  "Checking demo permissions with server..."



responseWarning "CANNOT REACH SERVER.##ATTEMPTING RETRY %d"


err_webRequest   "ERROR:  WEB REQUEST FAILED."
err_codeFailed  "This demo code was denied by the server."
err_serverVerifyFailed  "Response from the server##could not be authenticated."

err_badServerResponse  "ERROR:  UNEXPECTED##RESPONSE FROM SERVER"
